student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group
101,master of business administration,First year,Conditional,0,Essential Skills,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,52.96,42.09,92.17,41.56,34,Access,Concern for Welfare,LB5202,34.89,50.77,35.67,88.78,60,Access,Concern for Welfare,LB5205,10.97,88.0,48.03,57.07,52,No Access,Concern for Welfare,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Sickness,Non-IT
102,master of business administration,Continuing,Academic Caution,0,Studiocity,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,60.49,57.34,59.78,10.38,100,No Access,Non Submission,LB5202,37.84,45.42,76.77,2.02,25,No Access,Attendance,LB5205,90.5,23.38,26.02,40.44,39,Access,Non Submission,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Sickness,Non-IT
103,master of education - master of business administration,First year,Satisfactory,0,Essential Skills and Reading,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,55.68,18.34,43.31,49.46,65,Access,Attendance,ED5880,68.37,4.41,66.76,47.79,51,Access,Attendance,LB5113,59.13,50.88,83.56,97.09,0,No Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Sickness,Non-IT
104,master of education - master of business administration,Excluded,At Risk,0,4R Essential Skills,Lecturer,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,82.74,21.6,83.75,54.63,86,Access,Concern for Welfare,ED5880,54.46,86.27,64.82,83.35,40,Access,Non Submission,LB5113,37.99,17.74,60.31,34.79,46,Access,Attendance,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Mental health,Non-IT
105,master of education - master of business administration,Return to Study,At Risk,0,Essential Skills,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,86.86,47.13,80.58,49.31,23,Access,Non Submission,ED5880,70.25,48.89,27.53,94.69,34,Access,Non Submission,LB5113,70.51,32.25,38.83,76.95,34,Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Death in family,Non-IT
106,master of education - master of business administration,SRI to JCUB,At Risk,0,Essential Skills,Other,Booked,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,1.99,95.82,51.77,67.16,30,Access,Attendance,ED5880,0.44,36.3,98.42,13.14,54,Access,Concern for Welfare,LB5113,88.21,0.51,3.67,18.68,82,No Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Poor time management,Non-IT
107,master of education - master of business administration,First year,Conditional,4,Essential Skills and Reading,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,13.78,52.48,74.98,6.76,99,Access,Non Submission,ED5880,18.71,41.97,47.76,84.6,32,No Access,Non Submission,LB5113,37.03,16.99,0.59,21.32,92,No Access,Attendance,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Poor time management,Non-IT
108,master of education - master of business administration,Excluded,At Risk,0,Studiocity,Student Counsellor,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,92.98,8.45,44.72,95.66,18,Access,Attendance,ED5880,16.69,19.59,52.31,55.61,63,Access,Concern for Welfare,LB5113,97.63,15.07,78.74,35.02,68,No Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Sickness,Non-IT
109,master of education - master of business administration,New,Conditional,0,Studiocity,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,86.51,88.55,31.25,51.57,100,Access,Attendance,ED5880,92.59,61.55,2.22,99.25,48,Access,Attendance,LB5113,91.56,67.68,83.33,19.86,57,Access,Concern for Welfare,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Poor time management,Non-IT
110,master of education - master of business administration,Transferred,Excluded,0,Writing,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,99.98,43.77,88.53,57.57,36,Access,Non Submission,ED5880,16.89,31.4,9.31,70.84,71,Access,Non Submission,LB5113,56.43,46.71,86.63,98.5,30,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Late Enrollment,Non-IT
111,master of education - master of business administration,Return to Study,Satisfactory,0,4R Essential Skills,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,62.48,92.54,94.93,93.03,13,Access,Non Submission,ED5880,27.19,7.56,35.14,55.65,5,Access,Attendance,LB5113,70.13,62.25,55.07,66.41,41,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Poor time management,Non-IT
112,master of education - master of business administration,New,At Risk,0,Essential Skills and Reading,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,54.0,9.59,88.74,10.26,18,Access,Non Submission,ED5880,76.84,67.15,31.07,99.02,34,Access,Attendance,LB5113,57.02,73.35,83.55,62.99,31,Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Mental health,Non-IT
113,master of education - master of business administration,Excluded,Satisfactory,0,4R Essential Skills,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,84.58,21.3,46.61,51.95,25,Access,Attendance,ED5880,10.46,36.37,96.72,92.07,9,Access,Non Submission,LB5113,64.01,89.08,26.77,60.57,35,No Access,Non Submission,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Sickness,Non-IT
114,master of education - master of business administration,SRI to JCUB,Conditional,0,Writing,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,85.71,74.44,77.77,22.49,52,No Access,Attendance,ED5880,99.29,35.47,56.0,91.31,72,No Access,Non Submission,LB5113,25.53,62.01,95.84,78.72,66,Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Sickness,Non-IT
115,master of education - master of business administration,New,At Risk,2,Studiocity,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,ED5097,67.65,17.4,90.83,85.3,90,Access,Concern for Welfare,ED5880,53.29,26.04,8.4,79.77,58,Access,Non Submission,LB5113,20.63,7.55,42.93,93.73,70,No Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Late Enrollment,Non-IT
116,master of education - master of business administration,Continuing,At Risk,0,Studiocity,Student Advocate,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,17.71,65.23,83.84,77.8,38,Access,Non Submission,ED5880,94.64,30.12,2.71,98.16,63,Access,Non Submission,LB5113,69.18,4.06,40.52,11.98,83,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Late Enrollment,Non-IT
117,master of education - master of business administration,Transferred,Excluded,0,Essential Skills,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,48.55,72.05,2.53,52.01,48,Access,Non Submission,ED5880,88.67,65.3,15.56,32.38,43,No Access,Attendance,LB5113,50.81,42.46,33.05,92.43,45,Access,Non Submission,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Mental health,Non-IT
118,master of education - master of business administration,New,Excluded,0,4R Essential Skills,Enrollment,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,1.41,6.09,49.92,98.17,2,Access,Non Submission,ED5880,2.81,44.2,94.87,71.25,74,Access,Concern for Welfare,LB5113,5.71,23.02,76.38,9.16,53,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Sickness,Non-IT
119,master of education - master of business administration,Excluded,Satisfactory,0,Writing,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,9.06,1.32,37.55,20.54,66,Access,Concern for Welfare,ED5880,70.15,21.24,30.98,89.36,94,Access,Non Submission,LB5113,88.61,75.06,18.36,8.66,23,No Access,Non Submission,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Death in family,Non-IT
120,master of education - master of business administration,Continuing,Conditional,0,Referencing,Student Counsellor,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,15.72,53.12,24.76,65.09,49,Access,Non Submission,ED5880,93.86,17.14,41.59,39.53,62,Access,Concern for Welfare,LB5113,57.17,48.91,1.49,43.36,75,Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Late Enrollment,Non-IT
121,master of education - master of business administration,Continuing,Satisfactory,0,Referencing,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,7.67,68.92,16.92,5.83,53,No Access,Attendance,ED5880,57.5,48.44,39.37,43.66,83,No Access,Concern for Welfare,LB5113,98.32,22.03,4.37,56.79,10,Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Mental health,Non-IT
122,master of education - master of business administration,LOA,Satisfactory,0,Referencing,Lecturer,Booked,No,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,38.82,67.78,68.39,88.14,74,Access,Attendance,ED5880,21.35,90.77,84.6,25.45,41,Access,Concern for Welfare,LB5113,54.94,89.23,83.54,86.7,33,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Sickness,Non-IT
123,master of education - master of business administration,SRI to JCUB,At Risk,0,Essential Skills,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,31.36,82.94,81.47,79.05,13,Access,Non Submission,ED5880,30.18,43.15,19.98,11.09,39,Access,Non Submission,LB5113,87.75,67.18,14.86,38.81,43,Access,Attendance,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Sickness,Non-IT
124,master of education - master of business administration,New,Academic Caution,0,Studiocity,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,17.92,24.43,4.93,72.82,80,No Access,Non Submission,ED5880,19.71,4.08,82.62,17.04,100,Access,Concern for Welfare,LB5113,73.37,28.49,68.26,41.62,75,Access,Concern for Welfare,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Poor time management,Non-IT
125,master of education - master of business administration,Transferred,At Risk,0,Essential Skills and Reading,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,43.41,96.45,12.94,4.66,59,Access,Non Submission,ED5880,8.9,42.39,73.56,10.69,11,Access,Non Submission,LB5113,31.34,10.23,66.48,86.21,66,No Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Mental health,Non-IT
126,master of education - master of business administration,First year,Excluded,0,Writing,Other,Booked,No,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,2.08,81.14,59.19,43.03,57,No Access,Concern for Welfare,ED5880,15.2,78.96,61.23,67.86,32,Access,Attendance,LB5113,92.66,63.12,71.08,85.49,42,Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Poor time management,Non-IT
127,master of education - master of business administration,Excluded,Excluded,0,Referencing,Student Counsellor,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,63.93,9.96,47.29,31.66,43,Access,Concern for Welfare,ED5880,64.52,4.26,18.62,67.94,79,Access,Attendance,LB5113,17.63,92.98,71.63,78.78,7,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in family,Non-IT
128,master of education - master of business administration,First year,Conditional,0,Writing,Student Advocate,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,99.1,41.53,21.69,51.98,39,Access,Non Submission,ED5880,21.45,84.59,72.7,90.2,24,No Access,Attendance,LB5113,87.61,22.73,56.48,31.45,100,Access,Concern for Welfare,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Mental health,Non-IT
129,master of education - master of business administration,Transferred,At Risk,0,Writing,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,32.7,61.56,55.95,58.9,22,No Access,Concern for Welfare,ED5880,76.32,36.1,97.46,67.19,77,Access,Concern for Welfare,LB5113,7.11,34.6,58.08,40.85,78,Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Poor time management,Non-IT
130,master of education - master of business administration,Transferred,Conditional,0,Writing,Student Counsellor,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,34.06,37.73,88.68,68.69,52,No Access,Attendance,ED5880,81.82,8.69,50.98,91.21,34,Access,Attendance,LB5113,71.45,82.88,86.35,70.99,72,No Access,Concern for Welfare,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Sickness,Non-IT
131,master of education - master of business administration,Excluded,At Risk,0,Writing,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,11.79,13.51,83.78,65.91,17,No Access,Concern for Welfare,ED5880,37.02,10.2,70.03,92.99,47,No Access,Concern for Welfare,LB5113,62.7,68.99,25.02,38.75,96,No Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Mental health,Non-IT
132,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Essential Skills,Lecturer,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,48.97,42.34,18.71,46.88,88,Access,Non Submission,ED5880,99.32,82.62,38.55,67.26,3,Access,Concern for Welfare,LB5113,61.31,46.24,21.53,96.24,8,Access,Concern for Welfare,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Sickness,Non-IT
133,master of education - master of business administration,LOA,At Risk,0,Writing,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,75.01,21.5,89.76,63.85,4,Access,Non Submission,ED5880,37.08,3.36,9.22,24.35,38,Access,Attendance,LB5113,10.55,62.91,35.42,73.81,39,Access,Non Submission,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Death in family,Non-IT
134,master of education - master of business administration,Continuing,Conditional,0,Studiocity,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,74.96,72.13,70.8,8.03,73,Access,Concern for Welfare,ED5880,42.31,26.31,59.81,52.87,90,No Access,Attendance,LB5113,25.27,43.09,83.88,42.62,14,Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Late Enrollment,Non-IT
135,master of education - master of business administration,New,Excluded,0,Essential Skills,Other,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,55.69,5.46,16.71,13.23,3,Access,Non Submission,ED5880,99.26,97.31,56.4,28.96,8,No Access,Attendance,LB5113,13.99,84.94,17.63,71.98,26,No Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Late Enrollment,Non-IT
136,master of education - master of business administration,Continuing,Excluded,0,Referencing,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,85.99,28.44,87.89,54.35,43,Access,Attendance,ED5880,32.21,0.3,71.52,85.97,81,Access,Concern for Welfare,LB5113,62.49,56.02,88.72,42.31,39,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Sickness,Non-IT
137,master of education - master of business administration,Transferred,Satisfactory,0,Essential Skills,Enrollment,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,11.38,99.0,82.84,48.22,7,No Access,Non Submission,ED5880,80.67,65.73,5.69,17.26,43,No Access,Non Submission,LB5113,51.23,88.78,85.17,78.32,63,No Access,Concern for Welfare,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Mental health,Non-IT
138,master of education - master of business administration,Transferred,Satisfactory,0,Referencing,Student Counsellor,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,92.29,85.4,42.08,37.33,31,Access,Concern for Welfare,ED5880,92.96,75.26,55.44,71.84,1,Access,Non Submission,LB5113,19.23,39.64,33.83,70.7,57,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Sickness,Non-IT
139,master of education - master of business administration,New,Academic Caution,0,Studiocity,Student Advocate,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,57.54,12.72,82.74,36.52,51,No Access,Non Submission,ED5880,84.12,33.58,95.4,16.21,100,Access,Concern for Welfare,LB5113,48.68,5.27,66.44,26.0,87,No Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Sickness,Non-IT
140,master of education - master of business administration,First year,Satisfactory,0,Referencing,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,ED5097,35.99,38.64,50.26,93.4,42,Access,Concern for Welfare,ED5880,26.7,89.79,45.7,24.27,14,Access,Concern for Welfare,LB5113,65.55,78.48,64.42,45.15,41,Access,Attendance,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Late Enrollment,Non-IT
141,master of education - master of business administration,First year,Academic Caution,0,4R Essential Skills,Other,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,88.12,62.69,38.29,49.95,20,Access,Concern for Welfare,ED5880,91.27,29.62,4.65,52.24,20,Access,Non Submission,LB5113,28.01,6.93,33.45,74.66,47,Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Sickness,Non-IT
142,master of education - master of business administration,Excluded,Conditional,0,Studiocity,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,19.0,50.08,57.69,26.33,45,Access,Non Submission,ED5880,35.11,63.09,97.51,48.61,13,Access,Concern for Welfare,LB5113,36.72,18.18,29.45,89.15,42,Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Death in family,Non-IT
143,master of education - master of business administration,LOA,Academic Caution,0,Writing,Student Counsellor,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,35.72,13.68,2.04,38.95,15,Access,Concern for Welfare,ED5880,11.47,28.55,4.93,35.48,96,Access,Non Submission,LB5113,92.22,91.61,35.35,26.44,62,Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Sickness,Non-IT
144,master of education - master of business administration,Excluded,Academic Caution,0,Essential Skills and Reading,Student Counsellor,Attended,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,28.96,85.81,84.18,51.81,18,Access,Concern for Welfare,ED5880,39.66,54.52,77.77,84.87,23,Access,Non Submission,LB5113,79.77,70.93,40.52,27.6,5,Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Mental health,Non-IT
145,master of education - master of business administration,LOA,Academic Caution,0,Writing,Enrollment,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,ED5097,80.92,79.62,34.07,22.02,33,Access,Concern for Welfare,ED5880,96.38,22.43,58.07,26.52,63,No Access,Attendance,LB5113,44.08,87.25,65.62,95.5,70,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Sickness,Non-IT
146,master of education - master of business administration,New,At Risk,0,Essential Skills and Reading,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,94.7,57.45,93.6,34.02,51,No Access,Attendance,ED5880,57.17,35.73,29.73,38.54,22,No Access,Attendance,LB5113,80.21,89.87,78.28,31.62,9,Access,Attendance,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Late Enrollment,Non-IT
147,master of education - master of business administration,Excluded,At Risk,0,Studiocity,Enrollment,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,ED5097,30.77,50.38,67.57,66.45,52,Access,Attendance,ED5880,51.41,30.19,48.79,93.18,59,Access,Attendance,LB5113,82.35,53.23,59.12,96.01,40,Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Death in family,Non-IT
148,master of education - master of business administration,Excluded,Conditional,0,Writing,Lecturer,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,90.44,60.57,91.64,23.18,88,Access,Non Submission,ED5880,8.84,31.25,25.65,82.22,5,Access,Concern for Welfare,LB5113,45.75,9.44,92.93,59.36,83,No Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Death in family,Non-IT
149,master of education - master of business administration,LOA,Academic Caution,0,Writing,Student Counsellor,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,53.4,97.96,11.81,48.47,29,Access,Attendance,ED5880,74.7,19.31,59.53,92.65,77,Access,Attendance,LB5113,75.43,44.22,66.6,23.14,43,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Death in family,Non-IT
150,master of education - master of business administration,LOA,Academic Caution,0,Essential Skills and Reading,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,63.84,64.63,59.59,86.19,86,No Access,Concern for Welfare,ED5880,33.8,76.64,81.77,36.73,27,Access,Non Submission,LB5113,72.71,40.73,50.72,60.93,16,Access,Concern for Welfare,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Sickness,Non-IT
151,master of education - master of business administration,New,Excluded,0,Essential Skills,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,95.56,2.11,73.21,27.0,26,Access,Attendance,ED5880,5.11,3.78,90.32,25.63,22,Access,Concern for Welfare,LB5113,33.59,15.07,35.41,79.68,52,No Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Late Enrollment,Non-IT
152,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Essential Skills and Reading,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,86.26,94.63,12.63,67.0,72,Access,Attendance,ED5880,49.34,33.09,26.44,27.51,15,Access,Concern for Welfare,LB5113,11.07,52.1,66.89,90.14,26,No Access,Non Submission,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Mental health,Non-IT
153,master of education - master of business administration,SRI to JCUB,Excluded,0,Studiocity,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,45.91,43.98,54.27,57.16,85,Access,Attendance,ED5880,59.21,44.52,9.74,91.18,99,Access,Non Submission,LB5113,10.16,17.62,20.91,69.74,61,Access,Attendance,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Sickness,Non-IT
154,master of education - master of business administration,Return to Study,Satisfactory,0,Referencing,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,42.98,80.07,93.39,42.33,69,Access,Concern for Welfare,ED5880,65.92,0.62,28.89,12.78,66,Access,Attendance,LB5113,34.53,57.94,56.66,12.58,7,Access,Attendance,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Late Enrollment,Non-IT
155,master of education - master of business administration,Return to Study,Excluded,0,4R Essential Skills,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,97.86,60.06,95.72,20.96,68,No Access,Attendance,ED5880,57.44,65.07,73.01,12.53,23,Access,Concern for Welfare,LB5113,29.44,87.23,63.96,31.03,39,Access,Concern for Welfare,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Late Enrollment,Non-IT
156,master of education - master of business administration,SRI to JCUB,Excluded,0,Essential Skills,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,8.1,11.63,16.89,31.49,59,Access,Concern for Welfare,ED5880,65.71,65.08,12.75,71.78,73,No Access,Attendance,LB5113,12.92,41.46,56.79,41.28,11,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Death in family,Non-IT
157,master of education - master of business administration,Transferred,Excluded,0,Essential Skills and Reading,Student Counsellor,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,21.37,8.31,51.41,95.49,88,Access,Non Submission,ED5880,81.81,62.96,75.87,20.63,90,Access,Attendance,LB5113,0.48,26.48,27.45,43.37,45,No Access,Concern for Welfare,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Mental health,Non-IT
158,master of education - master of business administration,Transferred,Academic Caution,0,Studiocity,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,0.41,98.79,16.42,16.41,56,No Access,Non Submission,ED5880,42.35,22.56,22.28,23.84,4,Access,Concern for Welfare,LB5113,29.94,48.66,53.54,73.7,16,No Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Late Enrollment,Non-IT
159,master of education - master of business administration,First year,Conditional,0,Referencing,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,76.2,69.23,47.21,26.64,63,No Access,Non Submission,ED5880,34.93,7.79,1.84,47.12,37,No Access,Non Submission,LB5113,31.3,26.76,5.73,10.2,62,No Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Sickness,Non-IT
